score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,band_low,band_high,band_label,n_components,config_name,subject_norm
0.79185957,1.7248409,2304.0,9,0train,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,9
0.7216435,1.7248409,2304.0,9,1test,22,2,BNCI2014-001,band_8_35__csp_4,8,35,8-35,4,band_8_35__csp_4,9
0.91222996,1.8851349,2304.0,1,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,1
0.9357639,1.8851349,2304.0,1,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,1
0.57330245,1.5924718,2304.0,2,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,2
0.55748457,1.5924718,2304.0,2,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,2
0.9803241,2.0248258,2304.0,3,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,3
0.9756944,2.0248258,2304.0,3,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,3
0.74556327,1.5934567,2304.0,4,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,4
0.80073303,1.5934567,2304.0,4,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,4
0.5271991,1.648565,2304.0,5,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,5
0.63290894,1.648565,2304.0,5,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,5
0.6900077,1.9708223,2304.0,6,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,6
0.6421682,1.9708223,2304.0,6,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,6
0.6383102,1.682462,2304.0,7,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,7
0.69232255,1.682462,2304.0,7,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,7
0.98977625,1.5744603,2304.0,8,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,8
0.9814815,1.5744603,2304.0,8,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,8
0.79320985,2.020093,2304.0,9,0train,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,9
0.72646606,2.020093,2304.0,9,1test,22,2,BNCI2014-001,band_8_35__csp_6,8,35,8-35,6,band_8_35__csp_6,9
0.9143519,1.8256283,2304.0,1,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,1
0.9376929,1.8256283,2304.0,1,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,1
0.56905866,1.7003331,2304.0,2,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,2
0.5609568,1.7003331,2304.0,2,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,2
0.9832176,1.5944989,2304.0,3,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,3
0.97704476,1.5944989,2304.0,3,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,3
0.7488426,1.7484131,2304.0,4,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,4
0.8090278,1.7484131,2304.0,4,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,4
0.5320216,1.6140091,2304.0,5,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,5
0.63329476,1.6140091,2304.0,5,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,5
0.6875,1.7125609,2304.0,6,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,6
0.6429398,1.7125609,2304.0,6,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,6
0.6585648,1.914542,2304.0,7,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,7
0.68383485,1.914542,2304.0,7,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,7
0.9913194,1.586237,2304.0,8,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,8
0.97878087,1.586237,2304.0,8,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,8
0.8252315,1.775723,2304.0,9,0train,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,9
0.7837577,1.775723,2304.0,9,1test,22,2,BNCI2014-001,band_8_35__csp_8,8,35,8-35,8,band_8_35__csp_8,9
0.91570216,2.0251992,2304.0,1,0train,22,2,BNCI2014-001,band_8_35__csp_10,8,35,8-35,10,band_8_35__csp_10,1
0.9438657,2.0251992,2304.0,1,1test,22,2,BNCI2014-001,band_8_35__csp_10,8,35,8-35,10,band_8_35__csp_10,1
